Term,Definition
meningitis,infection or irritation around the brain
meningoencephalitis,inflammation of the brain and its lining
meniscus tear,torn cartilage in the knee
menorrhagia,heavy menstrual bleeding
merkel cell carcinoma,rare skin cancer
mesothelioma,cancer caused by asbestos
metabolic acidosis,the body becomes more acid
metabolism,chemical changes which provide energy
metabolize,process of breaking down substances in the cells to obtain energy
metastasis,spread of cancer cells from one part of the body to another
metastasize,spread
metatarsalgia,pain in the ball of the foot
metronidazole,"drug used to treat infections caused by parasites (invading organisms that take up living in the body) or other causes of anaerobic infection (not requiring oxygen to survive) mi myocardial infarction, heart attack"
migraine,severe headache
minimal,slight
minimal risk,"a risk is minimal where the probability and magnitude of harm or discomfort anticipated in the proposed research are not greater, in and of themselves, than those ordinarily encountered in daily life or during the performance of routine physical or psychological examinations or tests"
miscarriage,pregnancy loss
mitral valve prolapse,improper closure of the mitral valve
moderate risk,a risk is moderate when it includes non-public behavior or data and/or allows for connection of the response to the individual's identity
molar pregnancy,abnormal pregnancy with a non-viable embryo
molluscum contagiosum,skin infection causing round bumps
monitor,check on; keep track of; watch carefully
monitoring,"the collection and analysis of data as the project progresses to assure the appropriateness of the research, its design and participant protections"
mononucleosis,viral infection causing fatigue and swollen glands
morbidity,undesired result or complication
mortality,death
morton's neuroma,thickening of tissue around a foot nerve
motility,the ability to move
mucosa,the lining inside the ( )
"mucosa, mucous membrane","moist lining of digestive, respiratory, reproductive, and urinary tracts"
mucositis/stomatitis,"sores in the mouth and esophagus, which may be painful and cause difficulty swallowing"
muga,procedure using a special camera to look at the heart after radioactive dye has been put into it through one of the veins
multiple myeloma,cancer of plasma cells in bone marrow
multiple sclerosis,disease of the central nervous system
myalgia,muscle aches
myasthenia gravis,autoimmune muscle weakness disorder
mycosis fungoides,skin lymphoma
myelodysplastic syndrome,bone marrow disorder
myelofibrosis,scarring of the bone marrow
myocardial,pertaining to the heart muscle
myocardial infarction,heart attack
myocarditis,inflammation of the heart muscle
myoclonus,sudden muscle jerks
myoglobinuria,myoglobin in urine (muscle breakdown)
myopia,nearsightedness
myositis,muscle inflammation
nasal,nose
nasal congestion,stuffiness of the nose
nasal polyps,non-cancerous growths in the nasal passages
nasogastric tube,tube from the nose to the stomach
nausea,feel sick to the stomach
necrosis,death of tissue
necrotizing fasciitis,flesh-eating bacterial infection
neoplasia,"tumor, may be non-cancerous or cancerous"
neoplasia/neoplasm,"tumor, may be benign or malignant"
nephrectomy,kidney removal
nephrolithiasis,kidney stones
nephropathy,kidney disease
nephrotic syndrome,kidney disorder causing protein loss in urine
neuroblastoma,cancer of nerve tissue
neurologic deficits,"a neurologic deficit is a decrease in the function of the brain, spinal cord, muscles, and/or nerves"
neurological,pertaining to the nervous system
neurological exam,"test of brain, spinal cord, and reflexes"
neuropathy,"damage to the nerves which can cause numbness, pain, and weakness"
neutropenia,decrease in the main part of the white blood cells
neutrophilia,high levels of neutrophils (white blood cells)
new indication,new use
ng tube (nasogastric),a flexible plastic tube that is passed through the nose or mouth and into the stomach
nocturia,excessive urination at night
nodules,solid lumps
non-hodgkin's lymphoma,lymphatic system cancer
non-invasive,"not breaking, cutting or entering the skin"
noninvasive,"not breaking, cutting, or entering the skin"
nosocomial,acquired in the hospital
nosocomial pneumonia,pneumonia acquired in the hospital
null hypothesis,"the proposition, to be tested statistically, that the experimental intervention has ""no effect,"" meaning that the treatment and control groups will not differ as a result of the intervention"
nystagmus,uncontrolled eye movements
obsessive-compulsive disorder (ocd),repeated unwanted thoughts/actions
occlusion,closing; obstruction
occult blood test,a test for small amounts of blood in the stool
odynophagia,painful swallowing
off-label use,a drug prescribed for conditions other than those approved by the fda.
oligohydramnios,low amniotic fluid
oligomenorrhea,infrequent periods
oliguria,low urine output
omphalocele,abdominal organs protruding through the belly button
oncology,the study of tumors or cancer
onycholysis,separation of the nail from the nail bed
onychomycosis,fungal infection of the nail
oophorectomy,surgical removal of the ovaries
open design,an experimental design in which both the investigator(s) and the participants know the treatment group(s) to which participants are assigned
open-ended questions,survey questions that allow respondents to answer in their own words
open-label,"a study in which the drug, device, procedure is known to patient and investigator"
open-label trial,a clinical trial in which doctors and participants know which drug or vaccine is being administered
ophthalmic,pertaining to the eye
opportunistic infections,"an infection caused by an organism that usually does not cause illness, but causes disease when a person's immune response (resistance) to infection is impaired"
optic neuritis,inflammation of the optic nerve
"optimum, optimal",best
oral,by mouth
oral administration,by mouth
oral thrush,fungal infection in the mouth
orchitis,testicle inflammation
orphan drugs,an fda category that refers to medications used to treat diseases and conditions that occur rarely
orthopedic,pertaining to the bones
orthopnea,difficulty breathing while lying down
orthostatic hypotension,drop in blood pressure when standing up
ostealgia,bone pain
osteoarthritis,bone and joint pain
osteogenesis imperfecta,brittle bone disease
osteomalacia,softening of the bones
osteomyelitis,bone infection
osteopenia,low bone density
osteopetrosis,bone disorder characterized by dense bone
osteoporosis,softening of the bones
osteosarcoma,bone cancer
osteosclerosis,abnormal hardening of bone
otitis externa,outer ear infection (swimmer's ear)
otitis media,middle ear infection
ovaries,female sex glands
over-the-counter drugs,medications that you can buy without a doctor's prescription
overnight fast,do not eat or drink after ( ) p.m.
paget's disease,abnormal bone destruction and regrowth
pallor,pale skin
palpitation,rapid heart beat parameter measure
palpitations,irregular heart beats that you can feel
pancreatitis,inflammation of the pancreas
pancreatitis / inflammation of the pancreas,inflammation of the pancreas causing pain in the upper abdomen
pancytopenia,abnormal decrease in the levels of all type of blood cells
panic disorder,sudden episodes of intense fear
panniculitis,inflammation of fat tissue under the skin
papilledema,swelling of the optic nerve
papules,"raised, solid pimples"
paraphimosis,inability to return the foreskin to its normal position
parenteral,given by injection
paresthesia,tingling in the ( )
parkinson's disease,progressive neurological disorder
parkinsonism,symptoms similar to parkinson’s disease
paronychia,infection around the nail
parosmia,distorted sense of smell
paroxysmal nocturnal dyspnea,sudden breathlessness at night
partial seizure,seizure
participant,individuals whose physiological or behavioral characteristics and responses are the object of study in a research project
patellar tendinitis,inflammation of the tendon in the knee
patency,condition of being open
patent ductus arteriosus,persistent opening between heart vessels in infants
paternalism,making decisions for others against or apart from their wishes with the intent of doing them good
pathogenesis,the initial cause of a disease
pediculosis,lice infestation
peer review,review of a clinical trial by experts chosen by the study sponsor
pelvic inflammatory disease,infection of the female reproductive organs
peptic stricture,narrowing of the esophagus
peptic ulcer,stomach ulcer
perception,view
percutaneous,through the skin
perforation,hole; tear
pericarditis,inflammation of the heart lining
periodontitis,severe gum infection
peripheral,not central
peripheral artery disease,narrowing of arteries in limbs
peripheral blood,vein blood
peritonitis,inflammation of the abdominal lining
peritonsillar abscess,pus-filled swelling near the tonsils
pernicious anemia,vitamin b12 deficiency
pes cavus,high arches
pes planus,flat feet
pet (positron emission tomography),special camera that uses radiation to look at the structure and functioning of parts of the body
petechiae,small red or purple spots on the skin
peyronie’s disease,curved penis during erection
pharmacokinetics,study of the what the body does to the drug
pharmacological,effect of the drug
pharyngitis,sore throat
phenotype,the physical manifestation of a gene function
pheochromocytoma,tumor of the adrenal gland
phimosis,tight foreskin
phlebitis,inflammation of a vein
physiologically capable,able to function
pilonidal abscess,infected cyst near the tailbone
pilonidal cyst,cyst at the base of the tailbone
pityriasis rosea,temporary skin rash
placebo,a pill that does not contain active medicine
placebo effect,"a physical or emotional change, occurring after a substance is taken or administered, that is not the result of any special property of the substance"
placenta,afterbirth
placenta previa,placenta covering the cervix
placental abruption,premature separation of the placenta
plantar fasciitis,heel pain due to inflammation
plaques,"elevated, scaly patches"
plasma,blood
platelet,part of blood that causes clots
platelets,small particle in the blood that help with blood clotting
pleural effusion,"collection of fluid around the lungs in the chest cavity, which can cause shortness of breath and may require treatment"
pleuritis,inflammation of the lining of the lungs
pleurodesis,procedure to prevent fluid buildup around the lungs
pleurodynia,chest pain due to inflamed pleura
pneumoconiosis,lung disease from inhaling dust
pneumomediastinum,air in the space between the lungs
pneumonia,lung infection
pneumonitis,inflammation of lung tissue
pneumothorax,collapsed lung
polycystic ovarian syndrome,hormonal disorder in women
polycythemia,high red blood cell count
polycythemia vera,overproduction of red blood cells
polydipsia,excessive thirst
polyhydramnios,excess amniotic fluid
polymyalgia rheumatica,muscle pain and stiffness
polymyositis,muscle inflammation
polyps,abnormal lumps that can sometimes be cancerous
polyuria,excessive urination
population,"the entire group (or set or type) of people from which a researcher samples, and to which she or he would ideally like to generalize"
portal hypertension,high blood pressure in the liver veins
post-traumatic stress disorder,anxiety due to trauma
potential,possible
potentiate,increasing effect of a drug by administration of another drug at the same time
potentiator,agent that helps another agent work better
pre-eclampsia,high blood pressure during pregnancy
preclinical,refers to the testing of experimental drugs in the test tube or in animals - the testing that occurs before trials in humans may be carried out
predictive value,expected value
prenatal,before birth
presbycusis,age-related hearing loss
presbyopia,age-related farsightedness
prevention trials,refers to trials to find better ways to prevent disease in people who have never had the disease or to prevent a disease from returning
primary biliary cirrhosis,inflammation of bile ducts in the liver
privacy,"a person's capacity to control the extent, timing, and circumstances of shared oneself (physically, behaviorally, or intellectually) with others"
private information,"includes information about behavior that occurs in a context in which an individual can reasonably expect that no observation or recording is taking place, and information which has been provided for specific purposes by an individual and which the individual can reasonably expect will not be made public"
probability sample,a subset of the population chosen in such a way that every member of the population has a known (nonzero) chance of being selected into the sample
prognosis,"outlook, probable outcomes"
pronation,turning the palm downward
prone,lying on the stomach
prophylaxis,use of drugs to prevent disease
prorated compensation,less if you do not complete the study
prospective studies,studies designed to observe outcomes or events that occur after the group of participants has been identified. prospective studies do not have to involve manipulation or intervention but may be purely observational or involve only the collection of data instead.
prospective study,study following patients forward in time
prostatitis,inflammation of the prostate gland
prosthesis,artificial limbs
protected health information,"name, address, elements of dates related to an individual (e.g., birthdate), email address, numbers; telephone, fax, social security, medical record, health beneficiary/health insurance, certificate or license numbers, vehicle, account numbers, characteristics, or codes (e.g., global positioning system (gps) readings), web urls, internet protocol (io) addresses, biometric identifiers (e.g. voice, fingerprints), full face photographs or comparable images"
proteinuria,excess protein in the urine
protocol,a study plan on which all clinical trials are based
proximal,closer to the center of the body
pruritis,itchy skin
pruritus,itching
pseudohypoparathyroidism,body resistant to parathyroid hormone
psoriasis,chronic skin condition
psychosis,nervous breakdown
psychosocial test,test of your behavior
pulmonary,lung
pulmonary edema,fluid in the lungs
pulmonary embolism,"a blood clot that causes a sudden blockage in a lung artery, usually due to a blood clot that traveled to the lung from the leg"
pulmonary fibrosis,"tissue in the lungs becomes stiff making breathing difficult, resulting in shortness of breath, and if severe, can cause heart failure"
pulmonary hypertension,"abnormally high blood pressure in the blood vessels in the lungs, which makes it harder to pump blood into the lungs"
puncture,to make a hole
pustules,pimples containing pus
pyelogram,a series of x-rays of the kidneys
pyelonephritis,kidney infection
pyloric stenosis,narrowing of the pylorus (stomach outlet)
pyoderma gangrenosum,rare skin ulcer
pyothorax,pus in the chest cavity
pyuria,pus in urine
qd,"every day, daily"
qid,four times a day
quantify,to measure
quasi-experiment,an experimental design that is missing one or more aspects of the (classic) controlled experiment.
radiation therapy,x-ray or cobalt treatment
radioactive isotope,a chemical or substance that gives off radiant energy rays similar to x-rays
random,by chance (like the flip of a coin)
randomization,a method based on chance by which study participants are assigned to a treatment group
randomly,like picking numbers out of a hat ; by chance
raynaud's disease,reduced blood flow to fingers and toes
raynaud's syndrome,an autoimmune disorder causing blood vessels to spasm when exposed to cold
raynaud’s phenomenon,poor circulation in fingers/toes
recombinant,formation of new combinations of genes
reconstitution,putting back together the original parts
recruiting,the period during which a trial is attempting to identify and enroll participants
recruitment status,indicates the current stage of a trial
rectocele,bulging of the rectum into the vagina
rectovaginal fistula,abnormal connection between the rectum and vagina
recuperate,to get better
recur,happen again
refractory,not responding to treatment
regeneration,regrowth of a structure or of lost tissue
regimen,pattern of giving treatment
relapse,the return of a disease
reliability,the degree to which a measure yields consistent results
reliable method of birth control,"[you must indicate what you will accept. ex:]--birth control pills, norplant7 (levonorgestrel), depo-provera7 (medroxyprogesterone), intra-uterine device (iud)"
remission,disappearance of evidence of cancer or other disease
remuneration,"payment for participation in research; this is different from compensation, which typically refers to payment for research-related injuries"
renal,kidney
renal artery stenosis,narrowing of the kidney artery
renal colic,kidney stone pain
renal failure,kidney failure
render you ineligible,make you unable to participate
replicable,possible to duplicate
representative sample,"a sample in which the participants closely match the characteristics of the population, and thus, all segments of the population are represented in the sample"
research,"a systematic investigation (i.e., the gathering and analysis of information) designed to develop or contribute to generalizable knowledge"
resect,remove or cut out surgically
respiratory,breathing
respiratory failure,"difficulty breathing with low levels of oxygen in the blood, which could be serious and life threatening and require you to have a tube inserted into your windpipe that is hooked up to a machine to help you breathe"
respondents,"research participants, who fill out a survey, are interviewed, participate in an experiment, are observed in a naturalistic setting, or who are otherwise studied"
reticulocytosis,increased immature red blood cells
retinal detachment,separation of the retina from the eye
retinitis pigmentosa,progressive vision loss
retinoblastoma,eye cancer in children
retinopathy,damage to the retina
retrospective study,study looking back over past experience
rhabdomyolysis,rhabdomyolysis is a breakdown of muscle fibers.
rheumatoid arthritis,autoimmune joint inflammation
rhinitis,nasal inflammation
rickets,bone weakness in children due to vitamin d deficiency
rigors,chills and shivering
rosacea,facial redness and pimples
rotator cuff tear,torn tendons around the shoulder
rubella,german measles
saline,salt water
salpingectomy,surgical removal of the fallopian tubes
sample,a subset of a given population used for research purposes
sarcoidosis,inflammatory disease affecting lungs
sarcoma,a type of cancer
scabies,mite infestation
schizoaffective disorder,symptoms of schizophrenia and mood disorder
schizophrenia,mental disorder
sciatica,nerve pain in the lower back and legs
scoliosis,curved spine
scotoma,blind spot in the vision
screening,"examination, test"
scurvy,vitamin c deficiency
seborrheic dermatitis,"skin condition causing oily, scaly patches"
seborrheic keratosis,non-cancerous skin growth
secretion,release
sedation,to make drowsy/sleepy
sedative,a drug to calm or make less anxious
seizures,convulsions
seminoma,a type of testes cancer
sepsis,blood infection
septic shock,severe infection causing organ failure
sequentially,in a row
short bowel syndrome,malabsorption due to removal of part of the intestine
short qt syndrome,abnormally fast heart rhythm
shoulder dystocia,difficulty delivering the baby’s shoulders
sickle cell anemia,red blood cell disorder
side effects,any undesired actions or effects of a drug or treatment
silicosis,lung disease from inhaling silica dust
simultaneous,at the same time
single-blind design,"typically, a study design in which the investigator, but not the participant, knows the identity of the treatment assignment. occasionally the participant, but not the investigator, knows the assignment. also known as single-masked design"
sinusitis,sinus infection
sjogren's syndrome,autoimmune disease causing dry eyes and mouth
snowball sample,"a non-probability sample that is created by using members of the group of interest to identify other members of the group (for example, asking a participant at the end of an interview for suggestions about who else to interview)"
social experimentation,"systematic manipulation of, or experimentation in, social or economic systems; used in planning public policy"
somnolence,sleepiness
specimen,"a sample, as of human tissue, blood or urine, used for diagnostic or pathological analyses"
spina bifida,birth defect of the spinal cord
spinal stenosis,narrowing of the spinal canal
spirometer,instrument to measure the amount of air taken into and exhaled from the lungs
splenectomy,removal of the spleen
splenic rupture,rupture of the spleen
splenomegaly,enlarged spleen
spondylitis,spine inflammation
spondylolisthesis,slipping of a vertebra
sputum,thick saliva; phlegm
squamous cell carcinoma,skin cancer affecting squamous cells
staging,an evaluation of the extent of the disease
standard of care,the usual treatment for the disease
standard treatment,"a treatment currently in wide use and approved by the fda, considered to be effective in the treatment of a specific disease or condition"
statistical significance,"the probability that an event or difference occurred by chance alone. in clinical trials, the level of statistical significance depends on the number of participants studied and the observations made, as well as the magnitude of differences observed"
status epilepticus,prolonged seizure
steatorrhea,fatty stools
stenosis,"narrowing of a duct, tube, or heart valves"
stent,a metal (or plastic) tube placed inside a blood vessel that keeps it open to prevent blockage
stevens-johnson syndrome,"skin condition that causes painful blisters and sores of the skin and mucous membranes, especially in the mouth"
stimuli,something which causes a change
stomatitis,"mouth sores, inflammation of the mouth"
strabismus,crossed eyes
stratify,arrange in groups fro analysis of results
structured interview,a data collection method in which an interviewer reads a standardized interview schedule to the respondent and records the answers
study endpoint,a primary or secondary outcome used to judge the effectiveness of a treatment
stupor,stunned state in which it is difficult to get a response
subarachnoid hemorrhage,bleeding in the space around the brain
subclavian,under the collarbone
subcutaneous,under the skin
subdural hematoma,bleeding under the outer brain covering
subluxation,partial dislocation of a joint
superficial,near the surface
supination,turning the palm upward
supine,lying on the back
supine position,lying on the back
supplement,add
supportive care,"general medical care aimed at symptoms, not intended to improve or cure underlying disease"
survey,a study in which the same data are collected from all members of the sample using a highly structured questionnaire and analyzed using statistical tests
suture,stitches
symptomatic,having symptoms
symptoms,signs of disease or illness
syncope,fainting or lightheadedness
syndrome,a condition characterized by a set of symptoms
synovitis,inflammation of joint lining
systolic, pressure during active contraction of the heart
systolic blood pressure,top number of by blood pressure reading
t-lymphocytes,type of white blood cells
tachycardia,fast heart rate
tachypnea,rapid breathing
takayasu arteritis,inflammation of the aorta
talipes equinovarus,clubfoot
tarsal tunnel syndrome,nerve compression in the foot
telangiectasia,visible small blood vessels on the skin
telemetry,to monitor the ( ) from a distance
temporal arteritis,inflammation of temporal arteries
temporomandibular joint disorder (tmj),jaw joint dysfunction
tendinosis,degeneration of tendons
tendonitis,tendon inflammation
tenosynovitis,inflammation of the tendon sheath
teratogenic,can cause malformations in unborn fetuses
testes,male sex glands; male organs which produce sperm
testes/testicles,male sex glands
testicular torsion,twisting of the spermatic cord
tetanus,lockjaw
tetralogy of fallot,combination of four heart defects
thalassemia,genetic disorder causing anemia
theory,a general explanation about a specific behavior or set of events that is based on known principles and serves to organize related events in a meaningful way
therapeutic dose,the amount of medication needed to treat the condition
therapy,treatment intended and expected to alleviate a disease or disorder
third party payers,"health insurance; medicare, medicaid"
thoracentesis,procedure to remove fluid from the pleural space
thoracic outlet syndrome,nerve or blood vessel compression in the neck
thrombocytopenia,"low number of platelets, which may cause bleeding and bruising. may require a blood transfusion. bleeding may be serious or life threatening."
thrombocytosis,high platelet count
thromboembolism,blood clot that moves through the bloodstream
thrombophlebitis,blood clot causing vein inflammation
thrombosis,clotting
thrombus,blood clot
thyroid nodule,lump in the thyroid gland
thyroid storm,severe overactive thyroid condition
tia (transient ischemic attack),mini-stroke
tid,three times a day
tinea capitis,scalp ringworm
tinea corporis,ringworm
tinea cruris,jock itch
tinea pedis,athlete's foot
tinea unguium,nail fungus
tinea versicolor,skin fungal infection causing discolored patches
tinnitus,ringing in the ears
titration,adjusting to the necessary dose
tonic-clonic seizure,seizure with loss of consciousness
tonsillitis,inflammation of the tonsils
topical,on the surface
topical anesthetic,applied to a certain area of the skin and reducing pain only in the area to which applied
tourette syndrome,neurological disorder causing tics
toxic epidermal necrolysis,life-threatening skin condition
toxicity,side effects or undesirable effects of a drug
trachea,windpipe
tracheitis,inflammation of the trachea
tracheomalacia,weakness of the trachea
tracheostomy,surgical opening in the trachea
transdermal,through the skin
transiently,temporarily
transposition of the great arteries,swapped positions of heart’s major arteries
trauma,injury; wound
treadmill,walking machine often used to determine heart function
treatment trials,"refers to trials which test new treatments, new combinations of drugs, or new approaches to surgery or radiation therapy"
tremor,shakiness
trial,study
trigeminal neuralgia,facial nerve pain
trigger finger,finger locking in a bent position
triglyceride,fat in the blood
trismus,lockjaw
tubal ligation,having the tubes tied
tuberculosis,lung infection caused by bacteria
tympanosclerosis,hardening of the eardrum
ulcerative colitis,chronic inflammation of the colon
unable to comply with the study requirements,cannot follow study directions
unanticipated problem,"an unanticipated problem involving risk to human participants or others, is one that (1) was unforeseen at the time of its occurrence, and (2) indicates that participants or others are at an increased risk of harm"
upper endoscopy,procedure to visually examine upper digestive system
uptake,absorbing and taking in of a substance by living tissue
ureter,the tube that carries urine from the kidneys to by bladder
ureteral stent,tube placed in the ureter
urethra,the tube that carries urine from the bladder outside the body
urethral stricture,narrowing of the urethra
urethritis,inflammation of the urethra
urethrocele,prolapse of the urethra into the vagina
urinalysis,urine exam; test of the urine
urinary incontinence,involuntary urination
urolithiasis,kidney stones
urticaria,hives
uterine fibroids,non-cancerous growths in the uterus
uveitis,inflammation of the uvea (eye)
vaginitis,infection in the vagina or birth canal
validity,the degree to which a measure assesses what we think it is assessing
valvuloplasty,"plastic repair of a valve, especially of the heart"
variable,"any characteristic or trait that can vary from one person to another (race, sex, academic major) or for one person over time (age, political beliefs)"
varicella,chickenpox
varices,enlarged veins
varicocele,enlarged veins in the scrotum
varicose veins,swollen veins
vasculitis,inflammation of blood vessels
vasospasm,narrowing of the blood vessels
vector,"a carrier, usually an inset, that carries and transmits disease-causing germs"
vein,blood vessel
venipuncture,to put a needle into the blood vessel
ventricular fibrillation,life-threatening irregular heart rhythm
ventricular hypertrophy,thickening of the heart’s ventricular walls
verbal,speak; talk
verruca,wart
verruca vulgaris,common warts
vertical transmission,spread of disease
vertigo,a feeling of losing the balance; dizziness
vesicles,small fluid-filled blisters
vesicoureteral reflux,backward flow of urine from the bladder into the ureters
visual disturbances,inability to see properly.
vitiligo,loss of skin pigmentation
void,to make or pass urine
voluntary,"free of coercion, duress, or undue inducement. used in the research context to refer to a subject's decision to participate (or to continue to participate) in a research activity"
volvulus,twisting of the intestine
von willebrand disease,bleeding disorder
vulvovaginitis,inflammation of the vulva and vagina
waive,to give up
ward,"persons who are wards of the state or any other agency, institution, or entity"
wernicke’s encephalopathy,brain damage due to vitamin deficiency
wilms' tumor,kidney cancer in children
wilson’s disease,copper buildup in the body
withdraw,leave the study; quit
wolff-parkinson-white syndrome,extra electrical pathway in the heart
xanthelasma,cholesterol deposits under the skin
xeroderma,dry skin
xerostomia,dry mouth
zollinger-ellison syndrome,overproduction of stomach acid
hcv,liver infection caused by the hepatitis C virus
diagnostic,process of identifying a disease
therapeutic,treatment of disease
diuretics,drug that causes an increase in urination
lactulose,laxative
rifaximin,rifamycin-based antibiotic
paracentesis,procedure that removes fluid buildup inside abdomen
distention,swelling
haart,medication regimen used to manage and treat HIV-1
ceftriaxone,to treat bacterial infections
calcium gluconate,calcium salt
palliative care,"medical care that relieves pain, symptoms and stress caused by serious illness"
palliative,"medical care that relieves pain, symptoms and stress caused by serious illness"
percocet,a painkiller
vicodin,pain-relieving drug
kayexalate,a medication to treat high levels of blood potassium
asymptomatic,without symptoms
hyponatremia,low concentration of sodium in the blood
hypervolemic,high blood volume
aldosterone,hormone adrenal glands release
pleurx catheter,pleurx catheter (used in place of a chest tube)
hcv,hepatitis C virus
gait,walking pattern
mirapex,medicine to treat conditions that affect movement
cogwheeling,rigidity that affects limbs
upper extremities,the arm from shoulder to fingertips
seroquel,anti-psychotic medication
ivdu,Intravenous drug users (IVDU)
ptsd,anxiety due to trauma
lasix,diuretic pill
spironolactone,pill to remove excess body fluid
endoscopy,procedure to visually examine insides of the body
valgus,knock-knee
femoral,femur
mechanical fall,falling due to external force
closed reduction,procedure to set a broken bone
incisions,cut
lovenox,anticoagulant medicine
dvt,blood clot in a deep vein
oxycodone,opioid pain-relief medicine
avss,"Afebrile, Vital Signs Stable"
nad,metabolism coenzyme
a&ox3,"Awake, Alert and Oriented"
factor viii,blood clotting protein
hemophiliacs,prevents blood from clotting
ddavp,medication to treat bleeding
laparoscopic,abdomen surgery using small incisions
rcc,kidney cancer
intraoperative,surgery procedure period
perioperative,around time of surgery
nsaids,pain relievers
aaa,aorta swelling
clopidogrel,antiplatelet medicine
creatinine,protein and muscle breakdown waste
nstemi,heart attack
pcp,primary care physician
septal,nose
oxymetolazone,medicine for nose congestion relief
hypotensive,has low blood pressure
bradycardic,slow heart rate
regurgitation,vomit or backward flow
metoprolol,beta-blocker used to treat high blood pressure
uptitrated,gradually increase the medicine dosage
pravastatin,treatment to lower bad cholesterol levels
atorvastatin,treatmetn to lower cholesterol
